original,trained_s_1,trained_s_2,trained_s_3,trained_b_1,trained_b_2,trained_b_3
0.34048,0.34048,0.34048,0.34048,0.34048,0.34048,0.34048
0.34048,0.34048,0.34048,0.34048,0.34048,0.34048,0.34048
0.31099,0.31099,0.31099,0.31099,0.31099,0.31099,0.31099
0.30295,0.30295,0.30295,0.30295,0.30295,0.30295,0.30295
0.27614,0.27614,0.27614,0.27614,0.27614,0.27614,0.27614
0.27614,0.27614,0.27614,0.27614,0.27614,0.27614,0.27614
0.28954,0.28954,0.28954,0.28954,0.28954,0.28954,0.28954
0.30027,0.30027,0.30027,0.30027,0.30027,0.30027,0.30027
0.3378,0.3378,0.3378,0.3378,0.3378,0.3378,0.3378
0.38606,0.38606,0.38606,0.38606,0.38606,0.38606,0.38606
0.40214,0.40214,0.40214,0.40214,0.40214,0.40214,0.40214
0.42091,0.42091,0.42091,0.42091,0.42091,0.42091,0.42091
0.42627,0.42627,0.42627,0.42627,0.42627,0.42627,0.42627
0.42627,0.42627,0.42627,0.42627,0.42627,0.42627,0.42627
0.42627,0.42627,0.42627,0.42627,0.42627,0.42627,0.42627
0.41555,0.41555,0.41555,0.41555,0.41555,0.41555,0.41555
0.38874,0.38874,0.38874,0.38874,0.38874,0.38874,0.38874
0.36193,0.36193,0.36193,0.36193,0.36193,0.36193,0.36193
0.33512,0.33512,0.33512,0.33512,0.33512,0.33512,0.33512
0.30027,0.30027,0.30027,0.30027,0.30027,0.30027,0.30027
0.28418,0.28418,0.28418,0.28418,0.28418,0.28418,0.28418
0.28418,0.28418,0.28418,0.28418,0.28418,0.28418,0.28418
0.28418,0.28418,0.28418,0.28418,0.28418,0.28418,0.28418
0.28954,0.28954,0.28954,0.28954,0.28954,0.28954,0.28954
0.28418,0.28418,0.28418,0.28418,0.28418,0.28418,0.28418
0.2815,0.2815,0.2815,0.2815,0.2815,0.2815,0.2815
0.25469,0.25469,0.25469,0.25469,0.25469,0.25469,0.25469
0.21984,0.21984,0.21984,0.21984,0.21984,0.21984,0.21984
0.18767,0.18767,0.18767,0.18767,0.18767,0.18767,0.18767
0.20375,0.20375,0.20375,0.20375,0.20375,0.20375,0.20375
0.18499,0.18499,0.18499,0.18499,0.18499,0.18499,0.18499
0.19839,0.19839,0.19839,0.19839,0.19839,0.19839,0.19839
0.25469,0.25469,0.25469,0.25469,0.25469,0.25469,0.25469
0.29223,0.29223,0.29223,0.29223,0.29223,0.29223,0.29223
0.31099,0.31099,0.31099,0.31099,0.31099,0.31099,0.31099
0.33512,0.33512,0.33512,0.33512,0.33512,0.33512,0.33512
0.35389,0.35389,0.35389,0.35389,0.35389,0.35389,0.35389
0.36729,0.36729,0.36729,0.36729,0.36729,0.36729,0.36729
0.35925,0.35925,0.35925,0.35925,0.35925,0.35925,0.35925
0.35389,0.35389,0.35389,0.35389,0.35389,0.35389,0.35389
0.33512,0.33512,0.33512,0.33512,0.33512,0.33512,0.33512
0.31367,0.31367,0.31367,0.31367,0.31367,0.31367,0.31367
0.28418,0.28418,0.28418,0.28418,0.28418,0.28418,0.28418
0.25201,0.25201,0.25201,0.25201,0.25201,0.25201,0.25201
0.23592,0.23592,0.23592,0.23592,0.23592,0.23592,0.23592
0.22252,0.22252,0.22252,0.22252,0.22252,0.22252,0.22252
0.21448,0.21448,0.21448,0.21448,0.21448,0.21448,0.21448
0.23592,0.23592,0.23592,0.23592,0.23592,0.23592,0.23592
0.25469,0.25469,0.25469,0.25469,0.25469,0.25469,0.25469
0.24129,0.24129,0.24129,0.24129,0.24129,0.24129,0.24129
0.21984,0.21984,0.21984,0.21984,0.21984,0.21984,0.21984
0.2118,0.2118,0.2118,0.2118,0.2118,0.2118,0.2118
0.18767,0.18767,0.18767,0.18767,0.18767,0.18767,0.18767
0.19303,0.19303,0.19303,0.19303,0.19303,0.19303,0.19303
0.20107,0.20107,0.20107,0.20107,0.20107,0.20107,0.20107
0.20375,0.20375,0.20375,0.20375,0.20375,0.20375,0.20375
0.23056,0.23056,0.23056,0.23056,0.23056,0.23056,0.23056
0.25201,0.25201,0.25201,0.25201,0.25201,0.25201,0.25201
